,0,1
13,"[13.020281268727345, 6.2321209106484118e+58, 12.983101911312323, 13.00425828682825, 4.7864717988980624e+57, 0.0028554957183852111, 0.0012306171862492379]","[10.123356388123227, -5.489074058963034e+45, 10.079183496407172, 10.099742073290461, 5.4221879073652328e+44, 0.0043634630672371843, 0.0023326566730843103]"
14,"[13.020281268727345, 2.8598547353184098e+169, 13.000894148499674, 13.011442960283484, 2.1964615635357496e+168, 0.001488993964687707, 0.00067881086909310343]","[10.123356388123227, -1.0508667539378577e+146, 10.096853288995476, 10.107120114454249, 1.0380616009634313e+145, 0.0026180150250212325, 0.0016038429396822147]"
15,"[13.020281268727345, 0.63262137311253352, 0.62606684626891351, 0.95141261850986358, 0.95191602751527127]","[10.123356388123227, 31.374600222511962, 31.309115691714908, 2.0992290520682251, 2.0927603940178301]"
16,"[13.020281268727345, 1.2284949679296904, 1.227168233805596, 0.90564758605635198, 0.90574948355738982]","[10.123356388123227, 29.880647792161184, 29.863926790022809, 1.9516542386295233, 1.9500025135002972]"
17,"[13.020281268727345, 1.4499871941038036, 1.4496784082300771, 0.88863626183049949, 0.88865997759111581]","[10.123356388123227, 29.122812367373147, 29.11867273693278, 1.8767941432487922, 1.8763852244790031]"
18,"[13.020281268727345, 1.542280710825592, 1.5422036427222812, 0.88154781920649394, 0.88155373828778871]","[10.123356388123227, 28.74064823590842, 28.739622758750144, 1.8390434095185164, 1.8389421113799387]"
19,"[13.020281268727345, 1.5864615670310056, 1.5864400050984648, 0.8781545855816929, 0.87815624160832506]","[10.123356388123227, 28.551210737885622, 28.550922841169012, 1.8203304954651254, 1.8203020566049712]"
20,"[53.057682391207862, 52.749938089418542, 52.828007387999392, 52.789890856007638, 0.0058001836476807029, 0.0043287794124707082, 0.0050471773950797362]","[1.1508238452659878, 0.82764089752999914, 0.92570054746791886, 0.8786341370819738, 0.28082746900442612, 0.19561925026504523, 0.2365172648304861]"
21,"[53.057682391207862, -11160.645802633017, 53.04763062723265, 53.037524170355063, 211.34928967199735, 0.0001894497370069513, 0.000379930293678638]","[1.1508238452659878, 1.1574267553485549, 1.1426146557333068, 1.128022774252702, 0.0057375506335993268, 0.0071333154647865689, 0.019812824618711127]"
22,"[53.057682391207862, 5.9716322998590319e+25, 53.057687798286032, 53.05330126789174, 1.125498142913341e+24, 1.0190943000914678e-07, 8.2572836178916142e-05]","[1.1508238452659878, -154969189209931.72, 1.1504623651993797, 1.1437816538947128, 134659348472324.3, 0.00031410547156722262, 0.0061192609105587253]"
23,"[53.057682391207862, 3.9290104213332841e+80, 53.058827660057375, 53.056738874239592, 7.4051678178546993e+78, 2.1585353862014625e-05, 1.7782853033676414e-05]","[1.1508238452659878, -2.229021473726279e+57, 1.1504161937053374, 1.147169898221635, 1.9368919777736179e+57, 0.00035422585509266069, 0.0031750706760062964]"
24,"[53.057682391207862, -1.5344012259564531e+212, 53.06199934136297, 53.060987029628471, 2.8919492084914686e+210, 8.136333817368262e-05, 6.2283881837183394e-05]","[1.1508238452659878, 6.6091210782242249e+166, 1.152984878844167, 1.1513920552633079, 5.7429476330468899e+166, 0.0018778143910284809, 0.00049374193944406173]"
25,"[53.057682391207862, 11.758776256067208, 11.708516367233415, 0.77837749924003952, 0.779324768072161]","[1.1508238452659878, 10.273010090171841, 10.243311195922624, 7.9266573093968686, 7.900850671507512]"
26,"[53.057682391207862, 14.28298609098052, 14.271470241622735, 0.73080267649709207, 0.73101972045451336]","[1.1508238452659878, 8.3762287411811851, 8.3711301649755185, 6.278462968626795, 6.2740325979609111]"
27,"[53.057682391207862, 16.542357645099862, 16.539313996907023, 0.68821936994667754, 0.68827673483816287]","[1.1508238452659878, 7.8242183024659235, 7.8231137005397056, 5.7987975176665953, 5.7978376818665618]"
28,"[53.057682391207862, 17.68424358045911, 17.68344851139614, 0.66669777526148499, 0.66671276025568649]","[1.1508238452659878, 7.5414954267474226, 7.5412348823164193, 5.5531275336099508, 5.5529011354239257]"
29,"[53.057682391207862, 18.118453450683354, 18.118227807898403, 0.65851404294120197, 0.65851829572373555]","[1.1508238452659878, 7.3371916252647589, 7.3371201741537613, 5.3755992330597975, 5.3755371461372059]"
